seller_region,country_code,brand,asin,reporting_date,top_bsr_position,bot_bsr_position,sales,performance,units,discounts,cogs,refunds,sde1,sessions_mobile,sessions_browser,sessions,pageviews_mobile,pageviews_browser,pageviews,topbsr_sales,botbsr_sales,units_sales,refunds_sales,sessionsmobile_sales,pageviews_sales,topbsr_sde1,botbsr_sde1,units_sde1,refunds_sde1,sessionsmobile_sde1,pageviews_sde1,topbsr_units,botbsr_units,units_units,refunds_units,sessionsmobile_units,pageviews_units
eu,uk,incite-nutrition,B00RXIIW7K,2023-10-18,3.0,29.0,4386.38,1.176164507,507,-41.91,-643.89,-7.97,1085.3400000000001,635,425,1060,957,538,1495,0.00068393527236582324,0.0066113742995362913,0.115585061,-0.001816988,0.144766299,0.340827744,0.002764110785560285,0.026719737593749422,0.46713472275968815,-0.0073433209869718232,0.585070116276927,1.3774485414708753,0.0059171597633136093,0.057199211045364892,1.0,-0.015719921,1.252465483,2.948717949
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-23,3.0,22.0,1588.79,0.430430126,182,-35.83,-232.96,-22.39,611.16,159,133,292,262,176,438,0.0018882294072847892,0.013847015653421786,0.114552584,-0.014092485,0.100076159,0.275681493,0.00490869821323385,0.035997120230381568,0.29779435826952028,-0.03663525099810197,0.26016100530139408,0.71666993913214216,0.016483516483516484,0.12087912087912088,1.0,-0.123021978,0.873626374,2.406593407
eu,uk,incite-nutrition,B00RXIIW7K,2023-07-08,3.0,28.0,1409.76,0.38619688,161,-45.38,-206.07,-8.09,545.12999999999988,157,116,273,228,154,382,0.0021280217909431394,0.0198615367154693,0.114203836,-0.005738565,0.111366474,0.270968108,0.0055032744482967381,0.051363894850769552,0.29534239539192492,-0.014840496762240203,0.28800469612752927,0.70075027974978465,0.018633540372670808,0.17391304347826086,1.0,-0.050248447,0.97515528,2.372670807
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-17,4.0,26.0,6159.36,1.734065944,847,-83.15,-1075.69,-30.37,2722.12,1234,607,1841,1848,821,2669,0.00064941812136325855,0.0042212177888611806,0.137514287,-0.004930707,0.20034549,0.433324241,0.0014694429341836511,0.0095513790721937324,0.3111545413133881,-0.011156745477789371,0.45332314519565636,0.98048579783404111,0.0047225501770956314,0.030696576151121605,1.0,-0.035855962,1.45690673,3.151121606
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-16,4.0,27.0,1668.93,0.474051813,190,-47.39,-243.2,-6.59,645.5,173,125,298,252,175,427,0.0023967452199912518,0.016178030234940948,0.113845398,-0.003948638,0.103659231,0.255852552,0.0061967467079783118,0.041828040278853604,0.29434546862896976,-0.010209140201394268,0.26800929512006194,0.66150271107668479,0.021052631578947368,0.14210526315789473,1.0,-0.034684211,0.910526316,2.247368421
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-26,3.0,25.0,2496.67,0.7168496,336,-37.01,-430.08,,732.52,327,234,561,501,289,790,0.001201600531908502,0.010013337765904184,0.13457926,,0.130974458,0.316421473,0.0040954513187353245,0.034128760989461042,0.45869054769835638,,0.4464041937421504,1.0784688472669688,0.0089285714285714281,0.0744047619047619,1.0,,0.973214286,2.351190476
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-12,3.0,24.0,2049.78,0.592120394,277,-57.71,-354.56,-16.06,458.34,319,234,553,463,298,761,0.0014635717003776013,0.01170857360302081,0.135136454,-0.007834987,0.155626457,0.371259355,0.0065453593402277788,0.052362874721822231,0.60435484574769827,-0.035039490334686042,0.69598987651088717,1.6603394859711131,0.010830324909747292,0.086642599277978335,1.0,-0.057978339,1.151624549,2.747292419
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-11,4.0,34.0,2807.49,0.70261768,326,-31.54,-414.02,-63.03,875.35000000000025,399,265,664,606,361,967,0.0014247601950496708,0.012110461657922202,0.116117956,-0.022450659,0.142119829,0.344435777,0.0045696007311361152,0.03884160621465698,0.3724224595875934,-0.07200548352087735,0.45581767293082753,1.1047009767521561,0.012269938650306749,0.10429447852760736,1.0,-0.193343558,1.22392638,2.966257669
eu,uk,incite-nutrition,B00RXIIW7K,2023-12-10,4.0,57.0,2558.09,0.638261957,293,-25.56,-372.11,-32.23,558.05999999999972,380,314,694,602,422,1024,0.0015636666419086113,0.022282249647197713,0.114538582,-0.012599244,0.148548331,0.40029866,0.0071676880622155359,0.10213955488657139,0.525033150557288,-0.057753646561301678,0.680930365910476,1.8349281439271772,0.013651877133105802,0.19453924914675769,1.0,-0.11,1.296928328,3.494880546
eu,uk,incite-nutrition,B00RXIIW7K,2023-09-20,4.0,18.0,2783.43,0.740317376,322,-83.64,-408.94,-14.77,1001.0300000000002,306,275,581,439,368,807,0.0014370758380846654,0.0064668412713809941,0.115684605,-0.005306403,0.109936302,0.28993005,0.0039958842392335886,0.017981479076551149,0.32166868125830389,-0.014754802553370026,0.3056851443013695,0.80616964526537649,0.012422360248447204,0.055900621118012424,1.0,-0.045869565,0.950310559,2.50621118
